TARGET_SCORE,R_DEBT_INCOME,R_DEBT_SAVINGS,DEFAULT,DEBT,R_EXPENDITURE_DEBT,R_UTILITIES_DEBT,R_EDUCATION_INCOME,R_GROCERIES_DEBT,R_TAX_DEBT,R_ENTERTAINMENT_DEBT,R_HEALTH_DEBT,R_SAVINGS_INCOME,R_CLOTHING_DEBT,R_TRAVEL_DEBT,CAT_CREDIT_CARD,R_HOUSING_DEBT,R_UTILITIES_SAVINGS,R_EDUCATION_SAVINGS,CAT_DEBT,R_HEALTH_SAVINGS,R_GROCERIES_SAVINGS,R_GROCERIES_INCOME,R_EXPENDITURE,R_ENTERTAINMENT_INCOME,R_HEALTH_INCOME,R_GAMBLING_INCOME,CAT_DEPENDENTS,R_ENTERTAINMENT,R_HOUSING_SAVINGS,CAT_SAVINGS_ACCOUNT,R_TRAVEL,R_GROCERIES,R_EDUCATION_DEBT,R_GAMBLING_DEBT,T_ENTERTAINMENT_12,T_EDUCATION_12,T_EDUCATION_6,R_CLOTHING_SAVINGS,R_HEALTH,T_ENTERTAINMENT_6,T_GROCERIES_6,R_GAMBLING_SAVINGS,SAVINGS,T_GAMBLING_6,T_GAMBLING_12,R_ENTERTAINMENT_SAVINGS,R_EXPENDITURE_SAVINGS,T_GROCERIES_12,R_CLOTHING,T_FINES_6,INCOME
890,0.04932342563135867,0.06786134767288737,0,128420,5.538413019778851,0.5573742407724653,0.012935396759371815,1.40394798318019,0.11612677153091419,0.6338732284690858,0.44629341224108393,0.7268264973031893,0.4295514717333749,0.5618205886933499,0,1.0771686653169288,0.03782416713697191,0.01779709023730863,1,0.03028607241221145,0.09527380220123992,0.0692475239386841,0.27317350269681073,0.031264799044104175,0.0220127199284384,0.0,0,0.11445033553933044,0.07309811729941217,1,0.10144071716698794,0.2534928287519174,0.26225665784145774,0.0,81402,33679,16165,0.029149941766699005,0.08058146090717237,38374,92576,0.0,1892388,0,0,0.043015491537676205,0.37584417149125865,180295,0.0775585840563633,0,216969.25
866,0.10113492019660905,0.14409190407861505,0,263700,2.9477664012135003,0.2794122108456579,0.015021047722489154,0.7226848691695108,0.054315510049298445,0.35372392870686387,0.23110352673492604,0.7018778802550272,0.22973454683352293,0.2855365946150929,0,0.5927303754266212,0.04026103748356631,0.02140122683027318,1,0.03330014720651862,0.10413303884743963,0.07308867657075532,0.29812211974497277,0.035773841301399704,0.02337263673349165,0.0,0,0.11999727270154349,0.08540764840045419,1,0.09686540782117155,0.24516354785508268,0.14852483883200607,0.0,93277,39166,19100,0.03310288828588009,0.07839953893218547,46974,93430,0.0,1830082,0,0,0.0509687544055403,0.42474927352981995,190572,0.07793512631765823,0,217284.0
868,0.04798942974181611,0.06449309588212736,0,151020,5.332386438882267,0.5487683750496622,0.012425074111606088,1.3774996689180241,0.09979472917494371,0.6211296517017614,0.40348960402595685,0.7441018156350464,0.4102105681366706,0.5066481260760164,0,1.0559329890080784,0.035391771429157094,0.016698083314044907,1,0.026022293719887634,0.08883921822512882,0.06610542358091646,0.25589818436495354,0.029807657780900384,0.019363236003956855,0.0,0,0.1164824903110281,0.06810038750519934,1,0.09501339257441664,0.2583270520068993,0.2589127267911535,0.0,93803,39101,19577,0.026455749502700236,0.0756677350095679,50738,110847,0.0,2341646,0,0,0.04005857418243407,0.3439021098833897,208030,0.07692813955596507,0,262245.25
853,0.10392265269216705,0.13793520424622435,0,333080,2.372760297826348,0.22657019334694367,0.012403450027394047,0.578332532724871,0.04426564188783475,0.281974300468356,0.18235859253032305,0.7534164556472296,0.1876576197910412,0.22939834274048276,0,0.47285036627837157,0.03125200589541722,0.016462940163337346,1,0.025153669706724113,0.0797724160236413,0.06010185093894809,0.2465835443527704,0.029303517295689713,0.018951188676961172,0.0,0,0.11883808942971129,0.06522271185050918,1,0.0966799482234389,0.24373828795714136,0.11935270805812417,0.0,93920,39754,24277,0.025884592114237583,0.07685504207794575,49486,99842,0.0,2414757,0,0,0.038894182727288916,0.32728717630800946,192631,0.07908831750217317,0,267089.6666666667
885,0.07530493145507787,0.10117411339224594,0,272980,3.3953916037804968,0.329134002491025,0.012621810512842087,0.8113048574987178,0.06543702835372554,0.4258517107480401,0.2775697853322588,0.7443102680141628,0.27144845776247345,0.33135394534398127,0,0.6656824675800425,0.03329984088927072,0.016957727247962563,1,0.02808287693546731,0.08208304964825522,0.061095256683112664,0.2556897319858372,0.03206873388790881,0.020902373658446424,0.0,0,0.12542049944221112,0.0673498334581733,1,0.09758931634720577,0.23894294154329498,0.16760934867023225,0.0,116249,45754,23115,0.02746355704581077,0.081748975588915,59019,116954,0.0,2698121,0,0,0.04308516927150413,0.34352573513196777,221470,0.07994614154674745,0,302082.9166666667
852,0.1069632686806317,0.1480208108958958,0,357340,2.593196955280685,0.2538338836961997,0.013489093691789295,0.6594056081043264,0.053254603458890694,0.29435271730005036,0.2064896177310125,0.7226231773305161,0.2154390776291487,0.2384059998880618,0,0.4959058599652992,0.03757269729756599,0.018666843404636056,1,0.030564760658128014,0.09760575282090368,0.0705321792291784,0.277376822669484,0.03148492878743932,0.022086804461123218,0.0,0,0.11350958773132985,0.07340438752009014,1,0.09193516882802948,0.254282886905886,0.12610958750769574,0.0,105184,45064,22182,0.03188946696933044,0.07962743335423292,49733,116572,0.0,2414120,0,0,0.04357032790416383,0.3838471161334151,235632,0.08307856338888452,0,278397.75
887,0.0903150762502666,0.11911550453543378,0,294740,2.6771357806880642,0.26025649725181516,0.01223086879463049,0.6478421659767931,0.0536778177376671,0.31208862047906627,0.20989685824794735,0.7582142778348405,0.22081156273325642,0.2568772477437742,0,0.5302605686367646,0.031000583978774695,0.01613115072108244,1,0.02500197017060667,0.07716804645965394,0.05850991461833193,0.24178572216515948,0.028186307555407384,0.018956850757354763,0.0,0,0.11657556659261221,0.06316225516841423,1,0.09595226719421489,0.2419907763551268,0.13542444188097985,0.0,91985,39915,20548,0.026302080702229426,0.07840351608688324,45880,96592,0.0,2474405,0,0,0.03717459348813149,0.31888837922652113,190945,0.08248052427004825,0,271955.3333333333
850,0.0476691339302871,0.06129335098338826,0,156040,4.662951807228915,0.46869392463470905,0.010549285650350385,1.1799154063060753,0.08913740066649577,0.5328505511407331,0.3515701102281466,0.7777211257907305,0.3582735196103563,0.44957062291720074,0,0.9616380415278134,0.02872782122641695,0.01356435526889492,1,0.02154891016148229,0.07232096912942544,0.056245545529613424,0.22227887420926945,0.025400524287154905,0.01675904267035132,0.0,0,0.11427322716796293,0.05894201799834236,1,0.09641331103191696,0.2530404462848763,0.2213022301973853,0.0,83146,34532,18055,0.021959784585531408,0.07539647089706393,42791,93893,0.0,2545790,0,0,0.03266019585276083,0.2858079417391065,184114,0.07683406014510581,0,272783.0833333333
897,0.10650748298430175,0.13558412130159508,0,260640,2.0135167280540207,0.19339702271332104,0.01012932584490052,0.48837860650705955,0.03779158993247391,0.23865868631062,0.15935773480662985,0.7855454013481794,0.154573357888275,0.20435850214855739,0,0.39189686924493555,0.02622156538693026,0.012894640879465695,1,0.02160637844636952,0.06621638422575714,0.05201597612244765,0.21445459865182057,0.02541893597128417,0.016972791228334,0.0,0,0.11852828585202448,0.053134992657420686,1,0.10149332225616088,0.2425500616421781,0.09510435850214856,0.0,62204,24788,12593,0.02095769290591875,0.0791439835519233,32190,67477,0.0,1922349,0,0,0.03235832827441843,0.2730008962992672,127291,0.07676785384229892,0,203929.33333333334
872,0.060406549740006206,0.07979092895989699,0,188380,4.021743284849772,0.39873128782248646,0.011611217571321927,0.975034504724493,0.07701985348763138,0.459990444845525,0.3091251725236225,0.7570603642221863,0.3292971653041724,0.4093162756131224,0,0.8210107230066886,0.031815139860732256,0.015337241414363892,1,0.024665384680548262,0.07779890889992037,0.05889847030786241,0.2429396357778137,0.027786435686488788,0.0186731851099362,0.0,0,0.11437588435302316,0.06550920827474035,1,0.10177583366771557,0.24244076154674662,0.19221785752202994,0.0,86653,36210,17847,0.02627492672348068,0.07686347701210111,43937,93158,0.0,2360920,0,0,0.0367030649069007,0.3208986327363909,183677,0.08187921057633418,0,259878.0
